items_id,sup_id,lot order,defect,instock,capital,sale1pc,createdat,createdby,updateat,updateby
1,3,100,0,100,30000,320,,123456,,123456
1,3,200,0,200,62000,330,,123456,,123456
1,5,100,0,100,32000,340,,123456,,123456
2,3,100,0,100,30000,320,,123456,,123456
3,4,100,0,100,30000,320,,123456,,123456
4,5,100,0,100,30000,320,,123456,,123456
5,5,100,0,100,30000,320,,123456,,123456
6,1,100,0,100,20000,220,,123456,,123456
7,2,100,3,97,20000,220,,123456,,123456
8,1,100,0,100,20000,220,,123456,,123456
9,2,100,0,100,20000,220,,123456,,123456
10,6,100,0,100,20000,220,,123456,,123456
11,1,100,0,100,20000,220,,123456,,123456
12,6,100,5,95,20000,220,,123456,,123456
13,2,100,0,100,20000,220,,123456,,123456
14,1,100,0,100,20000,220,,123456,,123456
15,2,100,0,100,20000,220,,123456,,123456
